N,Problem,Strategy,Time_s
10000,P3,Comp,0.019191776999832655
10000,P3,Comp,0.019105104000118445
10000,P3,Comp,0.019246691000034843
10000,P3,Comp,0.018726652999930593
10000,P3,Comp,0.018747712000049432
10000,P3,Comp,0.018797816999949646
10000,P3,Comp,0.018972294000150214
10000,P3,Comp,0.019110604000161402
10000,P3,Comp,0.018979687999944872
10000,P3,Comp,0.018988935000152196
10000,P3,Comp,0.019002690999968763
10000,P3,Comp,0.019102960000054736
10000,P3,Comp,0.019099743999959173
10000,P3,Comp,0.019035232000078395
10000,P3,Comp,0.019126214000152686
10000,P3,Comp,0.019123449000062465
10000,P3,Comp,0.019061972999907084
10000,P3,Comp,0.018999514999904932
10000,P3,Comp,0.019021616999907565
10000,P3,Comp,0.019026706999966336
10000,P3,Comp,0.019070679000151358
10000,P3,Comp,0.01909180899997409
10000,P3,Comp,0.01899182099987229
10000,P3,Comp,0.019207496000035462
10000,P3,Comp,0.01920506199985539
10000,P3,Comp,0.019185886000059327
10000,P3,Comp,0.018888176000018575
10000,P3,Comp,0.01902039500009778
10000,P3,Comp,0.01897688299982292
10000,P3,Comp,0.018913935000000492
10000,P3,Comp,0.018992551999872376
10000,P3,Comp,0.019061262000150236
10000,P3,Comp,0.019008382000038182
10000,P3,Comp,0.018856998000046588
10000,P3,Comp,0.018872526999984984
10000,P3,Comp,0.018915497000079995
10000,P3,Comp,0.018973467000023447
10000,P3,Comp,0.01888657300014529
10000,P3,Comp,0.01888735500006078
10000,P3,Comp,0.01904135400013729
10000,P3,Comp,0.019009684000138805
10000,P3,Gen,0.019332412000039767
10000,P3,Gen,0.019300120000025345
10000,P3,Gen,0.019455844000049183
10000,P3,Gen,0.019029532000104155
10000,P3,Gen,0.01927961100000175
10000,P3,Gen,0.019328042000097412
10000,P3,Gen,0.019282806999854074
10000,P3,Gen,0.01886016200000995
10000,P3,Gen,0.01893258799987052
10000,P3,Gen,0.019228013999963878
10000,P3,Gen,0.019166016999861313
10000,P3,Gen,0.01885365999987698
10000,P3,Gen,0.01888726300012422
10000,P3,Gen,0.018993081999951755
10000,P3,Gen,0.0189709200001289
10000,P3,Gen,0.019017507999933514
10000,P3,Gen,0.01899281200007863
10000,P3,Gen,0.01897896600007698
10000,P3,Gen,0.019027316999881805
10000,P3,Gen,0.019187677999980224
10000,P3,Gen,0.019031224000173097
10000,P3,Gen,0.019018520999907196
10000,P3,Gen,0.01918635499987431
10000,P3,Gen,0.019199459999981627
10000,P3,Gen,0.0191838910000115
10000,P3,Gen,0.019082871000136947
10000,P3,Gen,0.01912383800004136
10000,P3,Gen,0.01905606000013904
10000,P3,Gen,0.01917271999991499
10000,P3,Gen,0.01915461600015078
10000,P3,Gen,0.019148825000002034
10000,P3,Gen,0.019112325999913082
10000,P3,Gen,0.019256818000030762
10000,P3,Gen,0.019283819000065705
10000,P3,Gen,0.019134798999857594
10000,P3,Gen,0.019222332999788705
10000,P3,Gen,0.01917321099995206
10000,P3,Gen,0.019162400999903184
10000,P3,Gen,0.01912291600001481
10000,P3,Gen,0.019165836999945896
10000,P3,Gen,0.01923912500001279
10000,P3,Gen,0.019158443000151237
10000,P3,Gen,0.019009052999990672
10000,P3,Gen,0.019045441000116625
10000,P3,Gen,0.019157722000045396
10000,P3,Gen,0.01945727500014982
10000,P3,Gen,0.01911497099990811
10000,P3,Gen,0.019047234000026947
10000,P3,Gen,0.019275983999932578
10000,P3,Gen,0.019175273999962883
10000,P3,Numpy,0.0001508139998804836
10000,P3,Numpy,0.00011995500017292215
10000,P3,Numpy,0.00011889300003531389
10000,P3,Numpy,0.00012239099987709778
10000,P3,Numpy,0.00011887400000887283
10000,P3,Numpy,0.00011915400000361842
10000,P3,Numpy,0.0001188339999771415
10000,P3,Numpy,0.00012564700000439188
10000,P3,Numpy,0.00011877300016749359
10000,P3,Numpy,0.00011851299996123998
10000,P3,Numpy,0.00011845300014101667
10000,P3,Numpy,0.00011866299996654561
10000,P3,Numpy,0.00012086699985047744
10000,P3,Numpy,0.0001185629998872173
10000,P3,Numpy,0.00011853299997710565
10000,P3,Numpy,0.00012624699979824072
10000,P3,Numpy,0.00011901299990313419
10000,P3,Numpy,0.00011876300004587392
10000,P3,Numpy,0.00011876300004587392
10000,P3,Numpy,0.00011863299982906028
10000,P3,Numpy,0.00012435400003596442
10000,P3,Numpy,0.00011916400012523809
10000,P3,Numpy,0.00011953500006711693
10000,P3,Numpy,0.00011930400000892405
10000,P3,Numpy,0.0001279000000522501
10000,P3,Numpy,0.00011941399998249835
